chart_position,chart_date,song,performer,song_id,instance,time_on_chart,consecutive_weeks,previous_week,peak_position,worst_position,chart_debut,chart_url,spotify_genre
90,2025-08-16,Count Your Blessings,$uicideboy$,Count Your Blessings$uicideboy$,1,1,1,,90,90,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-16,Hip Hop
54,2025-08-16,Napoleon,$uicideboy$,Napoleon$uicideboy$,1,1,1,,54,54,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-16,Hip Hop
95,2025-08-23,Napoleon,$uicideboy$,Napoleon$uicideboy$,1,2,2,54,54,95,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-23,Hip Hop
100,2025-08-30,Napoleon,$uicideboy$,Napoleon$uicideboy$,1,3,3,95,54,100,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-30,Hip Hop
91,2025-08-16,"Oh, What A Wretched Man I Am!",$uicideboy$,"Oh, What A Wretched Man I Am!$uicideboy$",1,1,1,,91,91,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-16,Hip Hop
90,2025-08-16,Count Your Blessings,$uicideboy$,count your blessings|$uicideboy$,1,1,1,,90,90,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-16,Hip Hop
54,2025-08-16,Napoleon,$uicideboy$,napoleon|$uicideboy$,1,1,1,,54,54,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-16,Hip Hop
95,2025-08-23,Napoleon,$uicideboy$,napoleon|$uicideboy$,1,2,2,54,54,95,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-23,Hip Hop
100,2025-08-30,Napoleon,$uicideboy$,napoleon|$uicideboy$,1,3,3,95,54,100,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-30,Hip Hop
91,2025-08-16,"Oh, What A Wretched Man I Am!",$uicideboy$,"oh, what a wretched man i am!|$uicideboy$",1,1,1,,91,91,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-16,Hip Hop
100,2025-08-16,Now And At The Hour Of Our Death..,$uicideboy$ X BONES,Now And At The Hour Of Our Death..$uicideboy$ X BONES,1,1,1,,100,100,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-16,Hip Hop
100,2025-08-16,Now And At The Hour Of Our Death..,$uicideboy$ X BONES,now and at the hour of our death..|$uicideboy$ x bones,1,1,1,,100,100,2025-08-16,https://www.billboard.com/charts/hot-100/2025-08-16,Hip Hop
73,2025-01-11,Diet Pepsi,Addison Rae,Diet PepsiAddison Rae,3,14,1,,54,97,2024-09-21,https://www.billboard.com/charts/hot-100/2025-01-11,Pop
97,2025-01-18,Diet Pepsi,Addison Rae,Diet PepsiAddison Rae,3,15,2,73,54,97,2024-09-21,https://www.billboard.com/charts/hot-100/2025-01-18,Pop
80,2025-01-25,Diet Pepsi,Addison Rae,Diet PepsiAddison Rae,3,16,3,97,54,97,2024-09-21,https://www.billboard.com/charts/hot-100/2025-01-25,Pop
71,2025-02-01,Diet Pepsi,Addison Rae,Diet PepsiAddison Rae,3,17,4,80,54,97,2024-09-21,https://www.billboard.com/charts/hot-100/2025-02-01,Pop
66,2025-02-08,Diet Pepsi,Addison Rae,Diet PepsiAddison Rae,3,18,5,71,54,97,2024-09-21,https://www.billboard.com/charts/hot-100/2025-02-08,Pop
75,2025-02-15,Diet Pepsi,Addison Rae,Diet PepsiAddison Rae,3,19,6,66,54,97,2024-09-21,https://www.billboard.com/charts/hot-100/2025-02-15,Pop
